Date,Open,High,Low,Close,Volume,Adj Close
2009-05-12,84.769997,85.279999,83.769997,84.720001,16819400,70.577781
2009-05-11,84.760002,84.989998,84.199997,84.43,13335600,70.336189
2009-05-08,85.139999,85.970001,84.610001,85.720001,18463400,71.410852
2009-05-07,85.800003,85.910004,83.650002,84.169998,19835900,70.119589
2009-05-06,85.050003,85.269997,84.190002,85.199997,18357600,70.977651
2009-05-05,84.059998,84.559998,83.610001,84.160004,11985000,70.111263
2009-05-04,82.739998,84.300003,82.599998,84.239998,13866800,70.177904
2009-05-01,81.790001,82.190002,80.959999,82.160004,12356400,68.445121
2009-04-30,82.730003,83.059998,81.349998,81.669998,17496500,68.036911
2009-04-29,80.82,82.550003,80.690002,81.769997,18084100,68.120217
2009-04-28,79.470001,80.949997,79.370003,80.120003,16457900,66.745655
2009-04-27,79.769997,81.230003,79.660004,80.260002,17582800,66.862284
2009-04-24,80.099998,81.269997,79.93,80.730003,17662200,67.253829
2009-04-23,78.940002,79.849998,78.019997,79.650002,19521000,66.354111
2009-04-22,79.029999,80.449997,78.660004,78.809998,20467800,65.654328
2009-04-21,77.830002,79.760002,77.809998,79.589996,18051200,66.304122
2009-04-20,80.050003,80.160004,78.349998,78.519997,16640200,65.412736
2009-04-17,81.440002,81.849998,80.82,81.309998,16835600,67.737005
2009-04-16,80.860001,81.790001,79.709999,81.260002,19526700,67.583723
2009-04-15,79.040001,80.459999,78.739998,80.300003,18263400,66.785295
2009-04-14,79.970001,80.339996,79.080002,79.269997,18590000,65.928641
2009-04-13,80.029999,81.18,79.690002,80.550003,11991300,66.993219
2009-04-09,80.010002,80.919998,79.760002,80.889999,19287700,67.275993
2009-04-08,78.18,78.940002,77.57,78.370003,15719000,65.180119
2009-04-07,78.739998,78.739998,77.690002,77.889999,17326400,64.780901
2009-04-06,79.459999,79.93,78.599998,79.760002,17834000,66.336177
2009-04-03,79.760002,80.190002,78.959999,80.160004,20617100,66.668857
2009-04-02,79.379997,80.760002,78.980003,79.709999,30176700,66.29459
2009-04-01,74.879997,77.870003,74.800003,77.529999,25416600,64.48149
2009-03-31,76.040001,77.230003,75.199997,75.839996,28187500,63.075919
2009-03-30,76.089996,76.120003,74.370003,75.25,25811800,62.585221
2009-03-27,78.139999,78.419998,77.330002,77.809998,19994100,64.714364
2009-03-26,78.18,79.300003,77.519997,79.099998,29403800,65.787254
2009-03-25,77.25,78.620003,75.480003,77.410004,30263100,64.38169
2009-03-24,76.910004,77.949997,76.440002,76.699997,20383500,63.791179
2009-03-23,74.550003,77.779999,74.169998,77.760002,25706800,64.672783
2009-03-20,74.43,74.559998,72.529999,72.739998,22996500,60.497659
2009-03-19,75.830002,75.870003,73.830002,74.110001,25410900,61.489875
2009-03-18,73.489998,75.889999,72.720001,74.970001,35906600,62.203427
2009-03-17,72.290001,74.120003,71.860001,74.080002,20439900,61.464985
2009-03-16,72.970001,74.07,72.199997,72.309998,24509000,59.996393
2009-03-13,72.190002,72.589996,71.199997,72.32,21835800,60.004692
2009-03-12,69.379997,71.989998,68.849998,71.769997,21938300,59.548349
2009-03-11,69.690002,70.32,68.82,69.480003,21875300,57.648316
2009-03-10,66.620003,69.230003,66.540001,69.139999,31008100,57.366211
2009-03-09,65.510002,67.169998,65.25,65.440002,28114400,54.296283
2009-03-06,66.540001,67.629997,64.779999,66.50,35830500,55.175775
2009-03-05,67.50,68.050003,65.529999,66.07,35056100,54.818999
2009-03-04,68.349998,69.879997,67.629997,68.769997,31996400,57.059216
2009-03-03,68.480003,68.599998,67.089996,67.209999,30799800,55.764869
2009-03-02,69.650002,69.82,67.589996,67.830002,36931600,56.279292
2009-02-27,70.629997,72.00,70.370003,70.760002,35756000,58.710345
2009-02-26,73.480003,74.07,71.760002,71.839996,31367300,59.606428
